Dt,NDX_Open,NDX_High,NDX_Low,NDX_Close,NDX_Volume,BZ_F_Open,BZ_F_High,BZ_F_Low,BZ_F_Close,BZ_F_Volume,SI_F_Open,SI_F_High,SI_F_Low,SI_F_Close,SI_F_Volume,PA_F_Open,PA_F_High,PA_F_Low,PA_F_Close,PA_F_Volume,MP_Open,MP_High,MP_Low,MP_Close,MP_Volume,PL_F_Open,PL_F_High,PL_F_Low,PL_F_Close,PL_F_Volume,GC_F_Open,GC_F_High,GC_F_Low,GC_F_Close,GC_F_Volume,CVX_Open,CVX_High,CVX_Low,CVX_Close,CVX_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,HG_F_Open,HG_F_High,HG_F_Low,HG_F_Close,HG_F_Volume,B_Open,B_High,B_Low,B_Close,B_Volume,CL_F_Open,CL_F_High,CL_F_Low,CL_F_Close,CL_F_Volume,XEL_Open,XEL_High,XEL_Low,XEL_Close,XEL_Volume,datekey,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,GSPC_Volume
6/24/2026,29328.4004,29592.9004,28963.0996,29220.0605,14936190000,77,77,73.08,73.74,22797,59.39,59.515,57.25,58.052,56,1161.3,1161.3,1161.3,1161.3,0,57.29,58,55.45,56.51,5988700,1580.6,1580.6,1580.6,1580.6,0,4104.3999,4104.7002,3963.3,3990.3,252,173.89,173.99,170.86,171.45,10623100,51660.75,52248.6914,51617.7305,51848.8984,560270000,6.0395,6.0395,5.9285,5.943,1012,36.75,37.21,35.91,36.46,15499300,73.13,73.18,69.63,70.34,203509,81,81.74,80.35,81.47,4130600,20260624,7370.8799,7428.0601,7336.8198,7358.2202,5994860000
6/23/2026,29369.25,29748.7207,29276.9805,29347.2695,14631520000,78.06,78.34,76.44,77.08,22797,61.95,62.02,61.95,62.02,56,1230.7,1230.7,1230.7,1230.7,0,57.75,60.88,57.01,58.9,5636500,1660.9,1660.9,1660.9,1660.9,0,4127.1001,4135.2002,4118.5,4129.8999,252,175.78,176.4,174.7,175.98,6555300,51735.6406,51872.5586,51301.7695,51666.8398,548870000,6.178,6.1785,6.123,6.141,1012,38.98,39.03,37.95,38.18,8612000,74.14,74.45,72.48,73.21,203509,79.31,80.53,78.69,80.33,4221100,20260623,7366.5098,7424.1699,7347.6001,7365.46,5640530000
6/22/2026,30529.9902,30642.5703,30194.25,30347.0801,12844290000,82.21,82.38,77.27,77.9,31186,65.527,65.527,65.527,65.527,0,1257.1,1257.1,1257.1,1257.1,0,60.76,63.141,59.37,60.29,4182300,1670.3,1670.3,1670.3,1670.3,0,4138.7998,4216.3999,4134.7998,4181.8999,738,174.08,175.45,172.86,175.06,11100800,51555.1914,51887.8516,51555.1914,51712.7109,529120000,6.3565,6.3565,6.3565,6.3565,1031,39.76,40.39,39.66,40.14,7513700,78.93,78.96,74.45,74.82,97813,77.41,79.07,77.17,78.81,5095200,20260622,7500.4399,7530.0098,7460.0098,7472.79,5976740000
6/18/2026,30261.5996,30463.7695,30089.3496,30406.1895,18286150000,78.35,80.04,76.58,79.85,31186,66.255,66.255,66.255,66.255,0,1274.5,1274.5,1274.5,1274.5,0,61.39,61.56,59.55,60.88,7362900,1705.2,1705.2,1705.2,1705.2,0,4279.7998,4323.2002,4223.7002,4224.1001,738,175.64,175.64,172.23,173.63,19146100,51571.8516,51949.2617,51554.5312,51564.6992,985370000,6.3745,6.3745,6.3745,6.3745,1031,41.34,42.22,39.72,40.34,16397500,75.53,76.99,73.58,76.6,97813,77.46,78.62,76.89,77.41,14786900,20260618,7487.3599,7511.0698,7468.3198,7500.5801,9061110000
6/17/2026,30160.7402,30208.9395,29604.9297,29670.9492,11443600000,79.2,82.98,77.77,79.55,25919,70.31,70.95,68.76,70.696,22,1349.1,1349.1,1349.1,1349.1,0,58.07,62.46,57.5,60.84,6935300,1790.7,1790.7,1790.7,1790.7,0,4339,4377,4296,4358.8999,1961,179.01,180.08,177.1,177.58,8430000,51937.5586,52281.1914,51392.5781,51492.5508,496040000,6.472,6.4815,6.3355,6.4815,1446,42.79,43.74,41.25,41.29,14763300,76.59,80.03,74.59,76.79,100474,78.4,79.34,77.32,77.46,6741900,20260617,7524.5,7532.1699,7402.6099,7420.1001,5883740000
6/16/2026,30455.4902,30560.0801,29962.8691,29968.1309,11132830000,83.55,83.8,78.45,78.96,28907,69.899,69.899,69.899,69.899,0,1355.9,1355.9,1355.9,1355.9,0,57.53,58.46,56.5,57.05,3770300,1812.1,1812.1,1812.1,1812.1,0,4309.5,4345.7998,4309.5,4330.8999,1666,178.62,180.25,178.33,180.11,6663500,51712.6289,52190.2891,51712.6289,51999.6719,447100000,6.498,6.498,6.4735,6.489,525,42.3,43.17,42.14,42.77,10228300,81.1,81.58,75.52,76.05,208395,79.47,80.24,78.65,78.98,5057200,20260616,7548.7798,7564.96,7508.6802,7511.3501,5286210000
6/15/2026,NULL,NULL,NULL,NULL,1336328000,85.02,85.29,82.4,83.17,34732,70.066,70.066,70.066,70.066,11,1346.8,1346.8,1346.8,1346.8,0,60.06,60.91,58.21,58.26,4792000,1770,1770,1770,1770,0,4271.2002,4362,4269.1001,4328,1167,NULL,NULL,NULL,NULL,8076330,NULL,NULL,NULL,NULL,509663893,6.5,6.5,6.4825,6.4825,414,NULL,NULL,NULL,NULL,10931545,81.4,82.42,79.7,80.75,233924,NULL,NULL,NULL,NULL,6399805,20260615,NULL,NULL,NULL,NULL,3393215000
6/12/2026,29380.6797,29733.8906,29220.8301,29635.9492,10337400000,89.23,89.87,85.8,87.33,34732,67.045,68.08,67.02,67.859,11,1276.2,1276.2,1276.2,1276.2,0,57.63,58.17,56.03,57.55,3819800,1709.2,1709.2,1709.2,1709.2,0,4208.2998,4225.2998,4173.2002,4215,1167,185.08,188.4,184.36,187.22,8703400,51148.7305,51409.6992,50827.8398,51202.2617,427710000,6.405,6.4305,6.405,6.4305,414,39.58,40.44,39.03,40.2,13221400,86.64,87.23,83.2,84.88,233924,77.833,78.6965,77.7337,78.627,5931200,20260612,7410.8501,7456.3999,7363.0098,7431.46,4950530000
6/11/2026,28731.1602,29506.6699,28548.5,29446.1797,10101910000,94.88,96.36,88.4,90.38,39760,63.955,63.985,63.885,63.885,4,1234.6,1234.6,1234.6,1234.6,3,53.55,57.33,53.31,57.18,4766200,1682.1,1682.1,1662.6,1662.6,0,4042.8999,4209.7998,4031,4090.3,525,191.81,192.25,185.55,185.82,9256500,49972.0703,50968.9492,49972.0703,50848.75,516860000,6.259,6.259,6.259,6.259,509,37.6,39.25,37.04,39.1,15707100,92.25,93.64,85.74,87.71,291935,78.56,79.32,78.09,78.27,6943000,20260611,7287.6699,7412.6802,7257.3301,7394.2998,5658920000
6/10/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2556,NULL,NULL,NULL,NULL,8849,NULL,NULL,NULL,NULL,514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1969,NULL,NULL,NULL,NULL,37019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26074,NULL,NULL,NULL,NULL,NULL,20260610,NULL,NULL,NULL,NULL,NULL
